Jul 16, 2019  01:28:23 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 376 
Units, Torr 
Noise Floor, 1 
CEM Status, OFF 
Points Per AMU, 25
Scan Start Mass, 30, amu 
Scan Stop Mass, 45, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1365, Volts
CEM Gain, 9.58E+003 
Sensitivity Factor, 1.25E-004 
Filament Current, 1.00, mAmps


 30.00,   4.08E-011, 
 30.04,   6.16E-011, 
 30.08,   4.80E-012, 
 30.12,   8.00E-013, 
 30.16,  -1.04E-011, 
 30.20,  -2.24E-011, 
 30.24,  -3.76E-011, 
 30.28,  -2.24E-011, 
 30.32,  -1.60E-011, 
 30.36,  -4.16E-011, 
 30.40,  -1.68E-011, 
 30.44,  -5.84E-011, 
 30.48,  -1.16E-010, 
 30.52,  -1.33E-010, 
 30.56,  -1.10E-010, 
 30.60,  -1.31E-010, 
 30.64,  -1.77E-010, 
 30.68,  -1.70E-010, 
 30.72,  -1.68E-010, 
 30.76,  -1.38E-010, 
 30.80,  -1.32E-010, 
 30.84,  -1.25E-010, 
 30.88,  -1.21E-010, 
 30.92,  -4.72E-011, 
 30.96,  -8.00E-012, 
 31.00,   2.40E-012, 
 31.04,  -1.04E-011, 
 31.08,  -2.80E-011, 
 31.12,  -7.20E-011, 
 31.16,  -6.72E-011, 
 31.20,  -6.88E-011, 
 31.24,  -7.20E-012, 
 31.28,  -1.44E-011, 
 31.32,  -5.28E-011, 
 31.36,  -3.76E-011, 
 31.40,  -5.44E-011, 
 31.44,  -6.32E-011, 
 31.48,  -2.08E-011, 
 31.52,   1.68E-011, 
 31.56,   0.00E+000, 
 31.60,  -7.84E-011, 
 31.64,  -2.40E-011, 
 31.68,  -2.40E-012, 
 31.72,   4.64E-011, 
 31.76,   1.10E-010, 
 31.80,   1.89E-010, 
 31.84,   3.38E-010, 
 31.88,   3.86E-010, 
 31.92,   4.97E-010, 
 31.96,   6.22E-010, 
 32.00,   7.10E-010, 
 32.04,   7.82E-010, 
 32.08,   8.50E-010, 
 32.12,   9.00E-010, 
 32.16,   8.86E-010, 
 32.20,   8.87E-010, 
 32.24,   8.00E-010, 
 32.28,   6.98E-010, 
 32.32,   6.01E-010, 
 32.36,   4.52E-010, 
 32.40,   3.79E-010, 
 32.44,   3.37E-010, 
 32.48,   2.81E-010, 
 32.52,   2.04E-010, 
 32.56,   2.33E-010, 
 32.60,   2.02E-010, 
 32.64,   1.14E-010, 
 32.68,   5.52E-011, 
 32.72,   3.44E-011, 
 32.76,   3.20E-012, 
 32.80,  -4.80E-012, 
 32.84,   5.60E-012, 
 32.88,   1.60E-012, 
 32.92,  -1.20E-011, 
 32.96,   8.00E-013, 
 33.00,   1.68E-011, 
 33.04,   3.76E-011, 
 33.08,  -1.60E-012, 
 33.12,  -5.36E-011, 
 33.16,  -7.20E-011, 
 33.20,  -7.44E-011, 
 33.24,  -9.84E-011, 
 33.28,  -9.52E-011, 
 33.32,  -1.22E-010, 
 33.36,  -7.76E-011, 
 33.40,   6.40E-012, 
 33.44,   8.00E-013, 
 33.48,   9.60E-012, 
 33.52,   4.80E-012, 
 33.56,   4.16E-011, 
 33.60,   4.80E-011, 
 33.64,   5.12E-011, 
 33.68,   2.48E-011, 
 33.72,  -1.20E-011, 
 33.76,  -7.52E-011, 
 33.80,  -6.72E-011, 
 33.84,  -8.64E-011, 
 33.88,  -1.02E-010, 
 33.92,  -4.00E-011, 
 33.96,  -4.16E-011, 
 34.00,  -1.04E-011, 
 34.04,   0.00E+000, 
 34.08,   1.76E-011, 
 34.12,   5.52E-011, 
 34.16,   3.68E-011, 
 34.20,   1.92E-011, 
 34.24,   2.96E-011, 
 34.28,   2.96E-011, 
 34.32,   2.32E-011, 
 34.36,  -1.28E-011, 
 34.40,  -2.48E-011, 
 34.44,  -4.32E-011, 
 34.48,  -6.00E-011, 
 34.52,  -2.88E-011, 
 34.56,   1.04E-011, 
 34.60,  -4.40E-011, 
 34.64,  -7.04E-011, 
 34.68,  -1.04E-010, 
 34.72,  -2.96E-011, 
 34.76,  -6.40E-012, 
 34.80,  -2.80E-011, 
 34.84,  -3.68E-011, 
 34.88,  -1.52E-011, 
 34.92,   9.60E-012, 
 34.96,   2.72E-011, 
 35.00,   4.72E-011, 
 35.04,   3.36E-011, 
 35.08,   7.52E-011, 
 35.12,   4.64E-011, 
 35.16,   6.24E-011, 
 35.20,   6.80E-011, 
 35.24,   8.24E-011, 
 35.28,   3.84E-011, 
 35.32,   4.64E-011, 
 35.36,   4.40E-011, 
 35.40,   1.00E-010, 
 35.44,   1.07E-010, 
 35.48,   1.49E-010, 
 35.52,   1.64E-010, 
 35.56,   2.88E-010, 
 35.60,   4.26E-010, 
 35.64,   6.31E-010, 
 35.68,   1.10E-009, 
 35.72,   1.76E-009, 
 35.76,   2.37E-009, 
 35.80,   2.99E-009, 
 35.84,   3.85E-009, 
 35.88,   5.03E-009, 
 35.92,   6.31E-009, 
 35.96,   7.47E-009, 
 36.00,   8.53E-009, 
 36.04,   9.64E-009, 
 36.08,   1.08E-008, 
 36.12,   1.13E-008, 
 36.16,   1.11E-008, 
 36.20,   1.06E-008, 
 36.24,   9.27E-009, 
 36.28,   7.07E-009, 
 36.32,   4.83E-009, 
 36.36,   3.33E-009, 
 36.40,   2.32E-009, 
 36.44,   1.67E-009, 
 36.48,   1.22E-009, 
 36.52,   6.87E-010, 
 36.56,   5.43E-010, 
 36.60,   4.54E-010, 
 36.64,   3.71E-010, 
 36.68,   2.41E-010, 
 36.72,   1.39E-010, 
 36.76,   1.07E-010, 
 36.80,   5.68E-011, 
 36.84,   2.32E-011, 
 36.88,   6.80E-011, 
 36.92,   8.80E-011, 
 36.96,   1.07E-010, 
 37.00,   3.28E-011, 
 37.04,   1.84E-011, 
 37.08,  -2.40E-011, 
 37.12,   0.00E+000, 
 37.16,   1.04E-011, 
 37.20,   1.68E-011, 
 37.24,  -2.64E-011, 
 37.28,  -6.64E-011, 
 37.32,  -3.20E-012, 
 37.36,   6.40E-011, 
 37.40,   1.09E-010, 
 37.44,   8.24E-011, 
 37.48,   1.03E-010, 
 37.52,   7.76E-011, 
 37.56,   1.01E-010, 
 37.60,   1.04E-010, 
 37.64,   1.44E-010, 
 37.68,   2.18E-010, 
 37.72,   2.97E-010, 
 37.76,   4.10E-010, 
 37.80,   5.22E-010, 
 37.84,   6.59E-010, 
 37.88,   8.32E-010, 
 37.92,   1.28E-009, 
 37.96,   1.46E-009, 
 38.00,   1.53E-009, 
 38.04,   1.66E-009, 
 38.08,   1.74E-009, 
 38.12,   1.81E-009, 
 38.16,   1.88E-009, 
 38.20,   1.88E-009, 
 38.24,   1.77E-009, 
 38.28,   1.53E-009, 
 38.32,   1.18E-009, 
 38.36,   7.03E-010, 
 38.40,   6.55E-010, 
 38.44,   6.19E-010, 
 38.48,   5.79E-010, 
 38.52,   5.29E-010, 
 38.56,   5.26E-010, 
 38.60,   5.20E-010, 
 38.64,   4.93E-010, 
 38.68,   5.63E-010, 
 38.72,   6.72E-010, 
 38.76,   8.48E-010, 
 38.80,   1.18E-009, 
 38.84,   1.59E-009, 
 38.88,   2.01E-009, 
 38.92,   2.59E-009, 
 38.96,   3.40E-009, 
 39.00,   4.41E-009, 
 39.04,   5.76E-009, 
 39.08,   7.45E-009, 
 39.12,   9.78E-009, 
 39.16,   1.32E-008, 
 39.20,   1.77E-008, 
 39.24,   2.35E-008, 
 39.28,   3.03E-008, 
 39.32,   3.78E-008, 
 39.36,   4.62E-008, 
 39.40,   5.66E-008, 
 39.44,   7.09E-008, 
 39.48,   8.85E-008, 
 39.52,   1.13E-007, 
 39.56,   1.48E-007, 
 39.60,   2.03E-007, 
 39.64,   3.25E-007, 
 39.68,   5.61E-007, 
 39.72,   8.55E-007, 
 39.76,   1.08E-006, 
 39.80,   1.26E-006, 
 39.84,   1.50E-006, 
 39.88,   1.95E-006, 
 39.92,   2.37E-006, 
 39.96,   2.33E-006, 
 40.00,   2.55E-006, 
 40.04,   2.96E-006, 
 40.08,   3.20E-006, 
 40.12,   3.01E-006, 
 40.16,   2.80E-006, 
 40.20,   2.19E-006, 
 40.24,   1.33E-006, 
 40.28,   4.45E-007, 
 40.32,   5.08E-008, 
 40.36,   1.77E-008, 
 40.40,   1.00E-008, 
 40.44,   6.71E-009, 
 40.48,   4.81E-009, 
 40.52,   3.63E-009, 
 40.56,   2.81E-009, 
 40.60,   2.20E-009, 
 40.64,   1.75E-009, 
 40.68,   1.45E-009, 
 40.72,   1.25E-009, 
 40.76,   8.18E-010, 
 40.80,   6.60E-010, 
 40.84,   5.50E-010, 
 40.88,   4.26E-010, 
 40.92,   3.54E-010, 
 40.96,   2.76E-010, 
 41.00,   2.32E-010, 
 41.04,   1.90E-010, 
 41.08,   1.56E-010, 
 41.12,   1.06E-010, 
 41.16,   1.12E-010, 
 41.20,   1.19E-010, 
 41.24,   8.08E-011, 
 41.28,   6.48E-011, 
 41.32,   5.36E-011, 
 41.36,   3.04E-011, 
 41.40,   4.80E-011, 
 41.44,   6.24E-011, 
 41.48,   1.76E-011, 
 41.52,  -3.04E-011, 
 41.56,  -4.32E-011, 
 41.60,  -7.52E-011, 
 41.64,  -3.60E-011, 
 41.68,   5.60E-012, 
 41.72,   4.16E-011, 
 41.76,   6.16E-011, 
 41.80,   1.76E-011, 
 41.84,  -6.24E-011, 
 41.88,  -6.32E-011, 
 41.92,  -4.56E-011, 
 41.96,  -3.44E-011, 
 42.00,  -4.00E-011, 
 42.04,  -2.88E-011, 
 42.08,  -1.68E-011, 
 42.12,  -1.28E-011, 
 42.16,  -5.52E-011, 
 42.20,  -6.32E-011, 
 42.24,  -6.96E-011, 
 42.28,  -6.56E-011, 
 42.32,  -3.28E-011, 
 42.36,  -3.12E-011, 
 42.40,  -4.96E-011, 
 42.44,  -3.36E-011, 
 42.48,  -3.76E-011, 
 42.52,  -5.20E-011, 
 42.56,  -1.20E-011, 
 42.60,  -3.36E-011, 
 42.64,  -4.08E-011, 
 42.68,  -2.24E-011, 
 42.72,  -7.04E-011, 
 42.76,  -3.84E-011, 
 42.80,  -4.40E-011, 
 42.84,  -5.84E-011, 
 42.88,  -4.08E-011, 
 42.92,   5.60E-012, 
 42.96,  -8.00E-013, 
 43.00,   2.40E-011, 
 43.04,   4.56E-011, 
 43.08,   2.88E-011, 
 43.12,  -8.80E-012, 
 43.16,  -8.80E-012, 
 43.20,  -7.20E-012, 
 43.24,  -5.04E-011, 
 43.28,  -4.80E-011, 
 43.32,  -6.40E-012, 
 43.36,  -2.00E-011, 
 43.40,   4.00E-012, 
 43.44,  -1.12E-011, 
 43.48,   6.40E-012, 
 43.52,   2.08E-011, 
 43.56,   2.64E-011, 
 43.60,   2.24E-011, 
 43.64,  -3.04E-011, 
 43.68,  -5.28E-011, 
 43.72,  -4.96E-011, 
 43.76,  -3.04E-011, 
 43.80,  -3.84E-011, 
 43.84,  -3.44E-011, 
 43.88,  -1.92E-011, 
 43.92,  -3.20E-012, 
 43.96,   3.20E-012, 
